,CO_PAIS,NO_PAIS
0,0,Não Definido
1,13,Afeganistão
2,15,"Aland, Ilhas"
3,17,Albânia
4,20,"Alboran-Perejil, Ilhas"
5,23,Alemanha
6,25,Alemanha Oriental
7,31,Burkina Faso
8,37,Andorra
9,40,Angola
10,41,Anguilla
11,42,Antártica
12,43,Antígua e Barbuda
13,47,Antilhas Holandesas
14,53,Arábia Saudita
15,59,Argélia
16,63,Argentina
17,64,Armênia
18,65,Aruba
19,69,Austrália
20,72,Áustria
21,73,Azerbaijão
22,77,Bahamas
23,80,Barein
24,81,Bangladesh
25,83,Barbados
26,85,Belarus
27,87,Bélgica
28,88,Belize
29,90,Bermudas
30,93,Mianmar
31,97,Bolívia
32,98,Bósnia-Herzegovina
33,99,"Bonaire, Saint Eustatius e Saba"
34,100,Internação na Zona Franca de Manaus
35,101,Botsuana
36,102,"Bouvet, Ilha"
37,105,Brasil
38,108,Brunei
39,111,Bulgária
40,115,Burundi
41,119,Butão
42,127,Cabo Verde
43,137,"Cayman, Ilhas"
44,141,Camboja
45,145,Camarões
46,149,Canadá
47,150,"Canal, Ilhas do (Guernsey)"
48,151,"Canárias, Ilhas"
49,152,"Canal, Ilhas do (Jersey)"
50,153,Cazaquistão
51,154,Catar
52,158,Chile
53,160,China
54,161,Taiwan (Formosa)
55,163,Chipre
56,165,"Cocos (Keeling), Ilhas"
57,169,Colômbia
58,173,Comores
59,177,Congo
60,183,"Cook, Ilhas"
61,187,Coreia do Norte
62,190,Coreia do Sul
63,193,Costa do Marfim
64,195,Croácia
65,196,Costa Rica
66,198,Coveite (Kuweit)
67,199,Cuba
68,200,Curaçao
69,229,Benin
70,232,Dinamarca
71,235,Dominica
72,237,Dubai
73,239,Equador
74,240,Egito
75,243,Eritreia
76,244,Emirados Árabes Unidos
77,245,Espanha
78,246,Eslovênia
79,247,Eslováquia
80,249,Estados Unidos
81,251,Estônia
82,253,Etiópia
83,255,Falkland (Malvinas)
84,259,"Faroe, Ilhas"
85,267,Filipinas
86,271,Finlândia
87,275,França
88,281,Gabão
89,285,Gâmbia
90,289,Gana
91,291,Geórgia
92,292,"Geórgia do Sul e Sandwich do Sul, Ilhas"
93,293,Gibraltar
94,297,Granada
95,301,Grécia
96,305,Groenlândia
97,309,Guadalupe
98,313,Guam
99,317,Guatemala
100,321,Guernsey
101,325,Guiana Francesa
102,329,Guiné
103,331,Guiné Equatorial
104,334,Guiné-Bissau
105,337,Guiana
106,341,Haiti
107,343,"Heard e ilhas mcdonald, Ilha"
108,345,Honduras
109,351,Hong Kong
110,355,Hungria
111,357,Iêmen
112,358,Iêmen Democrático
113,359,Ilha de Man
114,361,Índia
115,365,Indonésia
116,367,Inglaterra
117,369,Iraque
118,372,Irã
119,375,Irlanda
120,379,Islândia
121,383,Israel
122,386,Itália
123,388,Iugoslávia
124,391,Jamaica
125,393,Jersey
